variant,cost_type,total_cost,pct_of_total_cost,pct_of_gross_alpha
baseline_current_long_short,fee,0.0035510511363636365,0.33804025109199703,0.012003673366395304
baseline_current_long_short,slippage,0.0045014015151515156,0.4285083036021628,0.015216157527432059
baseline_current_long_short,funding,0.0024523648218253953,0.23345144530584022,0.008289766935481214
short_only_unscaled,fee,0.0018848257575757575,-0.0894279178102342,0.0059598993670440725
short_only_unscaled,slippage,0.0022368244949494947,-0.10612893859618319,0.007072934374997441
short_only_unscaled,funding,-0.025198130659632043,1.1955568564064174,-0.07967756296061689
short_only_rescaled,fee,0.0037789242424242425,-0.08962090719579717,0.005877128112890717
short_only_rescaled,slippage,0.004496830808080808,-0.10664676788219339,0.006993643975283958
short_only_rescaled,funding,-0.050441409925748915,1.1962676750779906,-0.07844841793872158
long_only_unscaled,fee,0.001606225378787879,0.05120047582694958,-0.07865594651136054
long_only_unscaled,slippage,0.00211457702020202,0.06740483062767905,-0.10354963829588905
long_only_unscaled,funding,0.027650495481457447,0.8813946935453714,-1.354029093503292
long_only_rescaled,fee,0.003214784090909091,0.051298550242074824,-0.08734280224863261
long_only_rescaled,slippage,0.0042349873737373735,0.06757801034929987,-0.11506081100619067
long_only_rescaled,funding,0.05521835610891488,0.8811234394086254,-1.5002332417141204
no_long_side,fee,0.0018848257575757575,-0.0894279178102342,0.0059598993670440725
no_long_side,slippage,0.0022368244949494947,-0.10612893859618319,0.007072934374997441
no_long_side,funding,-0.025198130659632043,1.1955568564064174,-0.07967756296061689
long_half_weight,fee,0.0026879384469696973,-0.49861296230130775,0.00878294090241488
long_half_weight,slippage,0.0032941130050505056,-0.6110584286091771,0.010763639279705963
long_half_weight,funding,-0.011372882918903324,2.109671390910485,-0.037161326621679744
long_with_50pct_cap,fee,0.003491051136363636,0.34048058782261714,0.011703838979299342
long_with_50pct_cap,slippage,0.004351401515151516,0.4243901586827663,0.014588185815192752
long_with_50pct_cap,funding,0.0024108518281587277,0.23512925349461664,0.008082442936974537
top5_symbol_cap_5pct,fee,0.003330590818903319,0.26253455458428787,0.013728288796006183
top5_symbol_cap_5pct,slippage,0.0041724729437229435,0.32889609842736234,0.017198424147404516
top5_symbol_cap_5pct,funding,0.005183231282142856,0.40856934698834974,0.021364646636833264
DOT_capped,fee,0.00344526939033189,0.29041157763164416,0.013081505530933311
DOT_capped,slippage,0.00430257215007215,0.3626760709867335,0.016336638736103738
DOT_capped,funding,0.004115560801984126,0.3469123513816224,0.015626566545166844
no_DOT,fee,0.003386301136363636,0.24548740453876217,0.014937099923326497
no_DOT,slippage,0.004216401515151515,0.30566491955861863,0.018598703485749372
no_DOT,funding,0.006191492381529581,0.44884767590261915,0.027310902560997417
high_funding_cost_filter,fee,0.003205051136363636,0.4392547868960875,0.0100160370990829
high_funding_cost_filter,slippage,0.004091401515151515,0.560729805604046,0.012785951805279442
high_funding_cost_filter,funding,1.1242182539408785e-07,1.5407499866593857e-05,3.5132705407357616e-07
combined_paper_safe_variant,fee,0.002824693993506493,0.27186092447111776,0.010851778276881628
combined_paper_safe_variant,slippage,0.003650925324675325,0.35138104737112935,0.014025955455672841
combined_paper_safe_variant,funding,0.003914597661333331,0.3767580281577529,0.015038919600368747
